Apartment,Address,Number of units,Number of floors,Number of stories/generations,Move-in year,Latitude,Longitude,
영도행복한마을,대구광역시 동구 경안로 810,2,5,90,2003,35.87459227,128.7151749,
불로우방아파트,대구광역시 동구 공항로 150,5,5,184,1993,35.90026366,128.6321088,
강변아파트,대구광역시 동구 국채보상로165길 30,1,5,52,1982,35.86978346,128.6158222,
금오,대구광역시 동구 국채보상로171길 41,1,5,76,1981,35.86939808,128.6220339,
동림,대구광역시 동구 동대구로83길 18,1,5,44,1979,35.8696484,128.6241149,
효신,대구광역시 동구 동부로32길 99,3,5,148,1981,35.8730118,128.6300954,
신동아맨션,대구광역시 동구 동부로34길 64,4,5,60,1979,35.87328029,128.6326797,
무궁화아파트,대구광역시 동구 동촌로 222,2,5,120,1988,35.88134831,128.6642077,
우방백자아파트,대구광역시 동구 동촌로 346,7,5,290,1989,35.87741623,128.6769841,
문화아파트,대구광역시 동구 동촌로14길 14,6,5,230,1985,35.88737846,128.6495235,
강변 1차,대구광역시 동구 동촌로54길 13,10,5,477,1989,35.87816985,128.6688015,
강변2차아파트,대구광역시 동구 동촌로56길 36,4,5,195,1990,35.87793796,128.6693082,
불로강변,대구광역시 동구 방천로3길 30,2,5,114,1993,35.89750563,128.6309226,
현대아파트,대구광역시 동구 송라로 59,1,5,41,1979,35.87236385,128.6185573,`
서도아파트,대구광역시 동구 송라로12길 37,3,5,49,1978,35.87440757,128.6219859,
73신암,대구광역시 동구 신암남로 10,3,5,151,1975,35.87760582,128.6175309,
고려,대구광역시 동구 신암남로23길 30,2,5,50,1978,35.88318059,128.6282054,
신흥,대구광역시 동구 신암로 132,1,5,38,1979,35.88082123,128.6137214,
양지,대구광역시 동구 신암로12길 7,1,5,35,1979,35.87679695,128.6076132,
반도,대구광역시 동구 신암북로 77,1,5,40,1980,35.88798287,128.6238067,
우남,대구광역시 동구 아양로 20,1,5,40,1980,35.88118795,128.6164985,
우남,대구광역시 동구 아양로 171,1,5,32,1980,35.88577115,128.6317499,
동양아파트,대구광역시 동구 아양로8길 30,2,5,110,1978,35.87954211,128.6195399,
신신,대구광역시 동구 아양로10길 9,1,5,31,1981,35.88146373,128.6205832,
거북,대구광역시 동구 아양로15길 26,1,5,48,1981,35.88445948,128.6231178,
동서타운,대구광역시 동구 아양로39길 16,4,5,220,1984,35.8873638,128.6348867,
동서타운,대구광역시 동구 아양로39길 20,2,5,130,1985,35.88786558,128.6355961,
동서청기와아파트,대구광역시 동구 아양로49길 20,7,5,330,1988,35.88810105,128.6398,
보성신암아파트,대구광역시 동구 아양로49길 77,10,5,505,1988,35.89182678,128.6325018,
장미,대구광역시 동구 아양로52길 128,1,5,53,1981,35.88228829,128.6435446,
율하 뜨란채,대구광역시 동구 율하동로 67,11,5,332,1997,35.86522387,128.699398,
대구안심4단지,대구광역시 동구 율하동로 73,6,5,194,2003,35.8657996,128.7003717,
화성아파트,대구광역시 동구 율하동로20길 20,9,5,448,1990,35.86723463,128.703478,
신기모란2차아파트,대구광역시 동구 율하동로20길 30,5,5,375,1988,35.86766641,128.7053495,
신기모란3차아파트,대구광역시 동구 율하동로20길 31,11,5,640,1988,35.86915639,128.7047278,
신기모란아파트,대구광역시 동구 율하동로20길 40,5,5,320,1987,35.86751818,128.7066638,
동양,대구광역시 동구 장등로 28,1,5,46,1979,35.86983682,128.6236291,
신라,대구광역시 동구 장등로 42,1,5,47,1978,35.87116353,128.6241146,
신암보성2차아파트,대구광역시 동구 큰고개로 23,9,5,535,1985,35.88665958,128.6245953,
불로은빛,대구광역시 동구 팔공로26길 37,2,5,70,1990,35.91006515,128.6449546,
에덴공항아파트,대구광역시 동구 팔공로29길 10,4,5,250,1988,35.91284697,128.6392869,
한국통신사원,대구광역시 동구 팔공로31길 20,1,5,30,1991,35.91334,128.639129,
에덴공항아파트 상가,대구광역시 동구 팔공로33길 10,4,5,220,1988,35.91445069,128.6397843,
평광현대아파트,대구광역시 동구 팔공로33길 19,2,5,52,1989,35.91351562,128.6390293,
평광현대아파트,대구광역시 동구 팔공로37길 33,4,5,130,1989,35.91565311,128.6391266,
팔공아파트,대구광역시 동구 해동로 54,8,5,290,1986,35.89304845,128.637415,
강산아파트,대구광역시 동구 해동로5길 18,3,5,90,1991,35.89475642,128.6400965,
월성공항,대구광역시 동구 해동로7길 57,1,5,39,2000,35.89451247,128.6402599,
유림,대구광역시 동구 화랑로 123,1,5,71,1978,35.87379343,128.6397859,
한남,대구광역시 동구 화랑로 167,1,5,49,1979,35.87628136,128.6434993,
우왕,대구광역시 동구 화랑로 197,4,5,90,1980,35.87756252,128.6466563,
코스모스,대구광역시 동구 화랑로11길 26,6,5,186,1981,35.87259329,128.6309476,
삼화,대구광역시 동구 화랑로11길 45,1,5,40,1982,35.8736279,128.6304595,
동부광명아파트,대구광역시 동구 화랑로11길 78,4,5,200,1980,35.87432597,128.6319809,
용림,대구광역시 동구 화랑로25길 17,1,5,49,1979,35.87573069,128.6401253,
동방,대구광역시 동구 화랑로25길 20,1,5,38,1981,35.87586178,128.6409175,
성림,대구광역시 동구 화랑로25길 29,1,5,49,1980,35.87669641,128.6405465,
우일,대구광역시 동구 화랑로25길 35,1,5,49,1980,35.87739033,128.6409112,
럭키 2차,대구광역시 동구 화랑로25길 43,1,5,49,1980,35.87788259,128.6413092,
대창월드빌,대구광역시 동구 화랑로25길 57,1,9,16,2001,35.87881362,128.6423132,
아양,대구광역시 동구 효동로 111,1,5,50,1980,35.88601967,128.6416055,
비둘기,대구광역시 동구 효동로15길 25,1,5,60,1980,35.88216433,128.6410969,
삼삼,대구광역시 동구 효동로15길 33,1,5,60,1980,35.88199455,128.6405603,
동명상가아파트,대구광역시 동구 효목로 46,1,5,36,1980,35.87717069,128.6399918,
럭키 1차,대구광역시 동구 효목로 64,1,5,55,1980,35.87851662,128.6410212,
효목삼일아파트,대구광역시 동구 효목로 66,1,5,54,1980,35.87888763,128.6417771,
럭키 3차,대구광역시 동구 효목로 70,1,5,49,1981,35.87916558,128.641911,
동백,대구광역시 동구 효목로 111,1,5,55,1981,35.88221574,128.643916,
신천동보성아파트,대구광역시 동구 효신로 17,2,5,100,1982,35.87368737,128.634015,
우방아파트,대구광역시 동구 효신로 26,1,5,31,1980,35.87442389,128.6347816,
동부프라자,대구광역시 동구 반야월로 134-1,2,5,739,1990,35.87268976,128.7030485,
광산,대구광역시 동구 동부로30길 100-9,1,6,46,1974,35.86813181,128.6280656,
성지각산아파트,대구광역시 동구 반야월북로 155,8,6,299,1989,35.87328491,128.7151862,
신서보라맨션,대구광역시 동구 반야월북로53길 10,3,6,99,1993,35.87324062,128.7268841,
안심주공 1단지,대구광역시 동구 안심로22길 3,17,6,866,1994,35.86610758,128.6984819,
안심주공 3단지,대구광역시 동구 율하동로 76,17,6,984,1994,35.86572604,128.7020843,
동부,대구광역시 동구 장등로 30,1,6,36,1977,35.87007313,128.623966,
청호아파트,대구광역시 동구 팔공로25길 46,2,6,120,1991,35.91134997,128.6357458,
공항3차아파트,대구광역시 동구 팔공로26길 49,3,6,237,1990,35.91068658,128.646593,
방촌우방맨션,대구광역시 동구 화랑로 407,3,6,154,1992,35.87761937,128.6677918,
방촌청구타운,대구광역시 동구 화랑로73길 36,3,6,129,1992,35.87970738,128.6631673,
은하,대구광역시 동구 화랑로91길 8,2,6,130,1990,35.87643063,128.6747435,
신서녹원맨션,대구광역시 동구 반야월북로 269,2,6,270,1992,35.87276361,128.7269555,
골든캐슬아파트,대구광역시 동구 경안로109길 29,1,7,26,2011,35.87140357,128.710446,
동촌화성타운,대구광역시 동구 동촌로6길 3,2,7,184,1995,35.88952992,128.6465897,
남경공항타운,대구광역시 동구 방천로3길 1,1,7,40,1996,35.89838636,128.6335827,
현대상가,대구광역시 동구 방촌로 125,1,7,47,1996,35.88284486,128.6654113,
효목맨션,대구광역시 동구 효동로 46,1,7,49,1995,35.88166903,128.6463385,
각산성지비둘기아파트,대구광역시 동구 반야월북로 153,2,8,90,1992,35.87344689,128.7143063,
대덕리더스빌,대구광역시 동구 동부로22길 91-13,1,9,41,2002,35.86781441,128.6281632,
각산역 더뉴클래스,대구광역시 동구 안심로73길 44899,1,9,83,2012,35.86931254,128.7254926,
현대방촌맨션,대구광역시 동구 화랑로91길 7,3,9,246,1993,35.87641649,128.6734247,
대구신서혁신엘에이치천년나무10단지,대구광역시 동구 메디밸리로 18,6,9,1088,2017,35.87387369,128.7502888,
해성미가아파트,대구광역시 동구 경안로109길 32,1,10,26,2014,35.87168807,128.7099265,
블루앤파크,대구광역시 동구 동대구로83길 14,1,10,47,2016,35.86925597,128.6243653,
동촌미소타운102동,대구광역시 동구 동촌역사로2길 5,1,10,44,2016,35.88775028,128.6541324,
동촌역 품안애 아파트 101동,대구광역시 동구 동촌역사로4길 18,1,10,26,2016,35.88738086,128.6551443,
삼승타워빌,대구광역시 동구 아양로 146,1,10,32,2003,35.88525836,128.6289889,
부림,대구광역시 동구 아양로34길 24,1,10,36,2003,35.88368399,128.6301675,
신천센스빌,대구광역시 동구 장등로 82,1,10,32,2003,35.87487385,128.6238843,
대구신서혁신LH천년나무13단지,대구광역시 동구 초례로 66,3,10,340,2016,35.88095232,128.7526598,
대구신서혁신LH천년나무 14단지,대구광역시 동구 초례로16길 3,2,10,178,2016,35.88227792,128.7524423,
동선골드타운,대구광역시 동구 해동로 235,1,10,36,2003,35.88460501,128.6540491,
신암2차 진로이스트타운,대구광역시 동구 동북로 460,3,11,176,1998,35.88258612,128.6355777,
에스지펠리체,대구광역시 동구 신암남로28길 16,1,11,36,2015,35.88187691,128.6318583,
하이넷시티,대구광역시 동구 안심로49길 103,1,11,49,2002,35.8705045,128.7103074,
멤피스빌,대구광역시 동구 효목로 52,1,11,35,2003,35.87769083,128.6405076,
제림햇빛촌아파트,대구광역시 동구 공항로52길 28,2,12,226,1995,35.8930029,128.6385152,
태왕아너스리버파크,대구광역시 동구 공항로54길 51,2,12,132,2017,35.89257534,128.6402687,
태왕아너스리버파크2차,대구광역시 동구 공항로54길 60,1,12,78,2017,35.89198137,128.6386616,
신천아이파크아파트,대구광역시 동구 동부로30길 78,1,12,38,2003,35.87006939,128.6287821,
오베이스,대구광역시 동구 동북로 440,1,12,33,2002,35.88392079,128.6340522,
입석유선아덴힐즈,대구광역시 동구 동촌로1길 15,1,12,42,2012,35.89235645,128.6459359,
효성그린밸리,대구광역시 동구 동촌로11길 35,1,12,58,2015,35.88872286,128.6522665,
용계보라아파트,대구광역시 동구 반야월로 26,1,12,72,1997,35.87363686,128.691489,
진산 신암그랜드타운,대구광역시 동구 신암남로 179,1,12,44,2004,35.88509431,128.632211,
신기메디오스,대구광역시 동구 율하동로28길 54,1,12,73,2004,35.87079187,128.7084639,
명산화성빌라트,대구광역시 동구 파계로22길 33,3,12,105,1995,35.94188308,128.6398958,
도동청구맨션,대구광역시 동구 팔공로24길 131,1,12,96,1997,35.90939269,128.6486787,
강가에,대구광역시 동구 해동로 214,1,12,48,2006,35.88507154,128.6518043,
제림빌리지아파트,대구광역시 동구 해동로6길 37,1,12,160,1995,35.89671413,128.6341184,
율하휴먼시아15단지,대구광역시 동구 금호강변로3길 9,6,13,457,2009,35.86936808,128.6905409,
방촌유선아덴힐즈,대구광역시 동구 동촌로25길 69,1,13,105,2007,35.88361882,128.6622107,
용계삼산타운,대구광역시 동구 반야월로6길 20,2,13,138,2000,35.87304877,128.6926948,
금강진우,대구광역시 동구 반야월북로 175,3,13,140,1996,35.87354118,128.7171638,
강남,대구광역시 동구 신성로 60,5,13,629,1992,35.88011811,128.6132955,
진로이스트타운,대구광역시 동구 아양로 218,16,13,897,1998,35.88423721,128.6397057,
공항2차 월성,대구광역시 동구 해동로7길 66,1,13,48,2002,35.89466999,128.6411926,
영남네오빌 2차,대구광역시 동구 동촌로42길 63,3,14,166,2003,35.87947038,128.6611866,
율하시티프라디움,대구광역시 동구 반야월로 35,6,14,468,2020,35.87421106,128.6910509,
대웅플러스타운,대구광역시 동구 반야월로30길 15,1,14,36,2015,35.87193898,128.7050631,
율하역 엘크루 아파트,대구광역시 동구 안심로7길 7,8,14,329,2015,35.87264358,128.6905823,
방촌청구제네스,대구광역시 동구 화랑로75길 6,1,14,130,2006,35.87768283,128.6670351,
우방강촌마을,대구광역시 동구 화랑로80길 8,13,14,1504,1996,35.87668803,128.6664674,
동촌강나루타운,대구광역시 동구 효동로 108,6,14,430,2000,35.88537967,128.6433482,
안심효성타운,대구광역시 동구 경안로 809,4,15,392,1995,35.87449855,128.7135686,
효성노블시티,대구광역시 동구 경안로109길 41,1,15,52,2016,35.87142918,128.7092888,
불로 서한이다음,대구광역시 동구 공항로 148,6,15,299,2016,35.89964401,128.6312958,
율하 리버파크뷰,대구광역시 동구 금호강변로 315,10,15,442,2010,35.86062395,128.6974261,
우방아이유쉘아파트,대구광역시 동구 금호강변로3길 22,20,15,902,2013,35.86857482,128.688653,
대구율하율하숲,대구광역시 동구 금호강변로3길 35,4,15,234,2018,35.86717613,128.6896721,
신천LH,대구광역시 동구 동부로 1,9,15,917,1989,35.87439264,128.6141601,
신천역 까사밀라 102동,대구광역시 동구 동부로 33,1,15,144,2015,35.87459521,128.6160955,
신천송라아파트,대구광역시 동구 동부로3길 38,1,15,174,1993,35.87595,128.6158636,
태왕메트로시티,대구광역시 동구 동북로 500,16,15,1859,2003,35.88067239,128.640493,
영남네오빌,대구광역시 동구 동촌로 190,11,15,930,2000,35.88203618,128.6615073,
이스트뷰파크,대구광역시 동구 동촌로11길 20,1,15,93,2015,35.88900072,128.650629,
오성파크아파트,대구광역시 동구 동촌로16길 22,1,15,50,2015,35.88684675,128.650671,
"상록 아이투빌,상록아파트",대구광역시 동구 동호로 47,11,15,1068,2004,35.86664411,128.7220557,
영조 아름다운나날,대구광역시 동구 동호로 88,11,15,830,2003,35.86658657,128.727196,
동화해오름타운,대구광역시 동구 동호로 89,8,15,604,2003,35.86789399,128.7265083,
아름다운나날3단지,대구광역시 동구 동호로 132,10,15,1167,2003,35.86611429,128.7306518,
신서청구타운,대구광역시 동구 반야월북로55길 19,4,15,360,1997,35.87427495,128.7271173,
신암건영캐스빌,대구광역시 동구 신암남로 50,11,15,748,2005,35.87839095,128.620772,
큰고개웰그린,대구광역시 동구 아양로 124,1,15,114,2008,35.88458579,128.627443,
에스디아이프라임,대구광역시 동구 아양로24길 13,2,15,238,2006,35.8847493,128.6282742,
대경 넥스빌,대구광역시 동구 안심로 400,7,15,446,2003,35.86722382,128.7277116,
아름다운나날1단지,대구광역시 동구 안심로 402,13,15,782,2003,35.86840706,128.7289967,
SM안아주,대구광역시 동구 안심로16길 29,5,15,412,2009,35.86559748,128.6937004,
율하휴먼시아6단지,대구광역시 동구 안심로16길 45,12,15,808,2008,35.86399116,128.6944664,
e편한세상 세계육상선수촌2단지,대구광역시 동구 안심로16길 71,15,15,652,2011,35.86166817,128.6930322,
율하휴먼시아7단지,대구광역시 동구 안심로22길 55,13,15,712,2008,35.86431111,128.6965749,
율하 센트럴파크8단지,대구광역시 동구 안심로22길 75,7,15,253,2009,35.86344254,128.7000677,
